"Question","Answer","Confidence","Quote","Standard","Criteria","Project","Target date","Run"
"Use file 1.txt ONLY to document evidence on S9: Creates analysis artefacts, such as use cases and/or user stories to enable effective delivery of software activities. Demonstrates the use of core technical concepts for digital and technology solutions, including: security and resilience techniques.. None","No relevant evidence found.","","No quote found","S9","Use file 1.txt ONLY to document evidence on S9: Creates analysis artefacts, such as use cases and/or user stories to enable effective delivery of software activities. Demonstrates the use of core technical concepts for digital and technology solutions, including: security and resilience techniques.. None","1","2025-06-20","2"
"Use file 1.txt ONLY to document evidence on S9: Creates analysis artefacts, such as use cases and/or user stories to enable effective delivery of software activities. Demonstrates the use of core technical concepts for digital and technology solutions, including: security and resilience techniques.. None","No relevant evidence found.","","No quote found","S9","Use file 1.txt ONLY to document evidence on S9: Creates analysis artefacts, such as use cases and/or user stories to enable effective delivery of software activities. Demonstrates the use of core technical concepts for digital and technology solutions, including: security and resilience techniques.. None","1","2025-06-20","3"
"Use file 2.txt ONLY to document evidence on K7: Reviews the roles, functions and activities relevant to technology solutions within an organisation.. nan. None","No relevant evidence found.","","No quote found","K7","Use file 2.txt ONLY to document evidence on K7: Reviews the roles, functions and activities relevant to technology solutions within an organisation.. nan. None","2","2025-06-20","1"
"Use file 2.txt ONLY to document evidence on K7: Reviews the roles, functions and activities relevant to technology solutions within an organisation.. nan. None","No relevant evidence found.","","No quote found","K7","Use file 2.txt ONLY to document evidence on K7: Reviews the roles, functions and activities relevant to technology solutions within an organisation.. nan. None","2","2025-06-20","2"
"Use file 2.txt ONLY to document evidence on K7: Reviews the roles, functions and activities relevant to technology solutions within an organisation.. nan. None","No relevant evidence found.","","No quote found","K7","Use file 2.txt ONLY to document evidence on K7: Reviews the roles, functions and activities relevant to technology solutions within an organisation.. nan. None","2","2025-06-20","3"
"Use file 1.txt ONLY to document evidence on K16 : Explains core technical concepts for digital and technology solutions, including: Computer networking concepts . nan. None","- Evidence explanation: None of the sources from file 1.txt provide information or quotes explaining core computer networking concepts, such as network topologies, protocols (e.g., TCP/IP), data transmission methods, or network security principles. The provided text snippets discuss AI, legacy systems, and cloud adoption frameworks but do not delve into fundamental computer networking topics.
- Confidence level: [Confidence: 0%]
- Quote: No evidence found","0.0","No evidence found","K16 ","Use file 1.txt ONLY to document evidence on K16 : Explains core technical concepts for digital and technology solutions, including: Computer networking concepts . nan. None","1","2025-06-13","1"
"Use file 1.txt ONLY to document evidence on K16 : Explains core technical concepts for digital and technology solutions, including: Computer networking concepts . nan. None","*   **K16: Explains core technical concepts for digital and technology solutions, including: Computer networking concepts**

    *   Evidence Explanation:
        There are no sources within the provided file (1.txt) that discuss computer networking concepts. The context includes information about data analytics startups, legacy systems disadvantages, Data Mesh architecture, and cloud financial considerations, but none of these directly explain core technical concepts related to computer networks.

    *   Confidence Level: 0%
    *   Quote:
        No evidence found","","No evidence found","K16 ","Use file 1.txt ONLY to document evidence on K16 : Explains core technical concepts for digital and technology solutions, including: Computer networking concepts . nan. None","1","2025-06-13","3"
"Use file 1.txt ONLY to document evidence on K16 : Explains core technical concepts for digital and technology solutions, including: Computer networking concepts . nan. None","- Evidence explanation: None of the sources in file 1.txt provide direct evidence explaining core technical concepts like computer networking.

- Confidence level: [Confidence: 0%]

- Quote: No exact text fragment from any source in file 1.txt directly relates to K16.

---

- Evidence explanation: None of the sources in file 1.txt discuss legacy systems or their disadvantages, which could relate to underlying computer network concepts.

- Confidence level: [Confidence: 0%]

- Quote: No exact text fragment from any source in file 1.txt directly relates to K16.

---

- Evidence explanation: The McKinsey article defines Data Mesh as a decentralized data architecture involving distributed computing, cloud-native architectures and microservices, which inherently relies on computer networking concepts for communication between distributed components.

- Confidence level: [Confidence: 85%]

- Quote: Quote: A decentralized data architecture that distributes compute closer to the domain rather than concentrating it in a single team.

---

- Evidence explanation: None of the sources in file 1.txt discuss financial considerations or cloud adoption frameworks, which are not directly related to K16.

- Confidence level: [Confidence: 0%]

- Quote: No exact text fragment from any source in file 1.txt directly relates to K16.","85.0","No exact text fragment from any source in file 1.txt directly relates to K16.","K16 ","Use file 1.txt ONLY to document evidence on K16 : Explains core technical concepts for digital and technology solutions, including: Computer networking concepts . nan. None","1","2025-06-13","2"
"Use file 2.txt ONLY to document evidence on K6: Explains core technical concepts for digital and technology solutions, including: The approaches and techniques used throughout the digital and technology solution lifecycle and their applicability to an organisation’s standards and pre-existing tools.. nan. None","Here is the documentation:

-   Evidence explanation: The solution involves designing technical aspects like API integration with Autodesk Construction Cloud (ACC) to extract data globally, ensuring adaptability through easy updates upon supplier method changes and structured logging for monitoring. It also considers scalability for handling increasing data volume and reliability via automatic saving of raw ACC data.
    *Confidence: 90%*
-   Quote: Quote: API Integration • With Autodesk Construction Cloud. The quote shows the specific technical integration considered during design/development.

-   Evidence explanation: Maintainability is addressed by designing systems to be easily updatable when supplier methods change, and structured log output is a technique for effective monitoring and debugging.
    *Confidence: 85%*
-   Quote: Quote: Maintaina - bility • Able to easily update upon supplier method changes • Structured log output. The quote directly describes techniques considered throughout the lifecycle (development/maintenance) related to adaptability and operational logging.

-   Evidence explanation: Scalability is a core technical consideration designed to handle increasing data volume without errors, ensuring the system performs well as it grows.
    *Confidence: 80%*
-   Quote: Quote: Scalability • Able to handle increasing data volume without errors. The quote explicitly states scalability and its requirement.

-   Evidence explanation: Reliability is ensured by automating the saving of raw ACC data, preventing manual intervention failures.
    *Confidence: 75%*
-   Quote: Quote: Save ACC raw data • Automatically. This shows a specific technical implementation (automatic process) for reliability during operation.

*Note:* The confidence levels are estimates based on the relevance and directness of the quoted text to K6 requirements.","90.0","Quote: API Integration • With Autodesk Construction Cloud. The quote shows the specific technical integration considered during design/development.","K6","Use file 2.txt ONLY to document evidence on K6: Explains core technical concepts for digital and technology solutions, including: The approaches and techniques used throughout the digital and technology solution lifecycle and their applicability to an organisation’s standards and pre-existing tools.. nan. None","2","2025-06-20","1"
"Use file 2.txt ONLY to document evidence on K6: Explains core technical concepts for digital and technology solutions, including: The approaches and techniques used throughout the digital and technology solution lifecycle and their applicability to an organisation’s standards and pre-existing tools.. nan. None","- Evidence explanation: The text describes technical concepts like maintainability (easy updates, structured logs), scalability (handling increasing data volume), API integration (with ACC systems), and data security/GDPR compliance as part of a digital solution. These directly address K6s requirements for core technical aspects throughout the lifecycle and their applicability to standards/pre-existing tools.
- Confidence level: [Confidence: 100%]
- *Exact* quote from the source text, in the format Quote: exact text from the source: Quote: Maintaina - bility  • Able to easily update upon supplier method changes  • Structured log output
- Evidence explanation: The concept of scalability is mentioned as a key technical requirement for handling increasing data volume without errors.
- Confidence level: [Confidence: 100%]
- *Exact* quote from the source text, in the format Quote: exact text from the source: Quote: Scalability  • Able to handle increasing data volume without errors
- Evidence explanation: The document outlines API integration with Autodesk Construction Cloud (ACC) as a technical approach relevant for digital solutions.
- Confidence level: [Confidence: 100%]
- *Exact* quote from the source text, in the format Quote: exact text from the source: Quote: API Integration  • With Autodesk Construction Cloud
- Evidence explanation: The document addresses data security and GDPR compliance as technical requirements for handling sensitive data.
- Confidence level: [Confidence: 100%]
- *Exact* quote from the source text, in the format Quote: exact text from the source: Quote: Data risks – GDPR compliance, breaches   Author ’s Data Qualification – training on team onboarding   Data security  • User access control. GDPR, sensitive data only with","100.0","exact text from the source: Quote: Maintaina - bility  • Able to easily update upon supplier method changes  • Structured log output","K6","Use file 2.txt ONLY to document evidence on K6: Explains core technical concepts for digital and technology solutions, including: The approaches and techniques used throughout the digital and technology solution lifecycle and their applicability to an organisation’s standards and pre-existing tools.. nan. None","2","2025-06-20","2"
"Use file 2.txt ONLY to document evidence on K6: Explains core technical concepts for digital and technology solutions, including: The approaches and techniques used throughout the digital and technology solution lifecycle and their applicability to an organisation’s standards and pre-existing tools.. nan. None","- Evidence explanation: The document outlines technical aspects relevant to digital solutions, including API integration with Autodesk Construction Cloud, data extraction processes for different regions, maintainability features like adaptability to supplier changes and structured logging, scalability considerations, and data security measures involving user access control and GDPR compliance. These points collectively describe core technical concepts (APIs, data handling, logs, security) and their implementation throughout the solution lifecycle.
- Confidence level: [Confidence: 90%]
- Quote: Quote: API Integration • With Autodesk Construction Cloud Maintainança - Maintaina bility • Able to easily update upon supplier method changes • Structured log output Extract ACC data • For EU • Globally Scalability • Able to handle increasing data volume without errors Data security • User access control. GDPR, sensitive data only with","90.0","Quote: API Integration • With Autodesk Construction Cloud Maintainança - Maintaina bility • Able to easily update upon supplier method changes • Structured log output Extract ACC data • For EU • Globally Scalability • Able to handle increasing data volume without errors Data security • User access control. GDPR, sensitive data only with","K6","Use file 2.txt ONLY to document evidence on K6: Explains core technical concepts for digital and technology solutions, including: The approaches and techniques used throughout the digital and technology solution lifecycle and their applicability to an organisation’s standards and pre-existing tools.. nan. None","2","2025-06-20","3"
"Use file 2.txt ONLY to document evidence on S4: Demonstrates the use of core technical concepts for digital and technology solutions, including: 
- Initiate, design, code, test and debug a software component for a digital and technology solution. . nan. None","- Evidence explanation: None of the provided text fragments directly describe initiating, designing, coding, testing, and debugging a software component for a digital solution using core technical concepts. While mentions exist (e.g., data infrastructure setup), they lack explicit details on all required steps or direct quotes demonstrating their application in this context.
- Confidence level: [Confidence: 0%]
- Quote: No evidence found","0.0","No evidence found","S4","Use file 2.txt ONLY to document evidence on S4: Demonstrates the use of core technical concepts for digital and technology solutions, including: 
- Initiate, design, code, test and debug a software component for a digital and technology solution. . nan. None","2","2025-06-20","1"
"Use file 2.txt ONLY to document evidence on S4: Demonstrates the use of core technical concepts for digital and technology solutions, including: 
- Initiate, design, code, test and debug a software component for a digital and technology solution. . nan. None","- Evidence explanation: The provided context does not contain any specific text demonstrating the initiation, design, coding, testing or debugging of a software component for a digital solution. While it mentions activities related to technology solutions (e.g., data infrastructure setup, DevOps pipelines), there are no direct quotes detailing the full development lifecycle process.
- Confidence level: [Confidence: 0%]
- Quote: No evidence found","0.0","No evidence found","S4","Use file 2.txt ONLY to document evidence on S4: Demonstrates the use of core technical concepts for digital and technology solutions, including: 
- Initiate, design, code, test and debug a software component for a digital and technology solution. . nan. None","2","2025-06-20","3"
"Use file 2.txt ONLY to document evidence on S4: Demonstrates the use of core technical concepts for digital and technology solutions, including: 
- Initiate, design, code, test and debug a software component for a digital and technology solution. . nan. None","- Evidence explanation: The provided context includes mentions of specific technical tasks related to software development within technology solutions. Willard discusses setting up GCP/Bitbucket pipelines (which involves coding), and both Sanchez and the Tesla Agile reference mention data infrastructure or DevOps concepts that inherently involve design, coding, testing, and debugging activities.
- Confidence level: [Confidence: 70%]
- *Exact* quote from the source text: Quote: GCP/Bitbucket pipeline set up.","70.0","GCP/Bitbucket pipeline set up.","S4","Use file 2.txt ONLY to document evidence on S4: Demonstrates the use of core technical concepts for digital and technology solutions, including: 
- Initiate, design, code, test and debug a software component for a digital and technology solution. . nan. None","2","2025-06-20","2"
"Use file 2.txt ONLY to document evidence on S7: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Work effectively within teams, leading on appropriate digital technology solution activities.. None","- Evidence explanation: The process involves collaboration between teams (liaising with IT) to evaluate a digital solutions value before deployment. It includes iterative evaluation via sandbox projects and stakeholder engagement planning, demonstrating effective team work incorporating feedback and resource considerations for the initiative.
- Confidence level: [Confidence: 90%]
- Quote: Liaise with IT team to discuss value, resources needed, incorporate any feedback, and raise the proposal formally.
- Quote: Once the project is approved, we can define an engagement plan with the stakeholders involved
- Quote: The current exercise is a foundation for the efficiency initiative

- Evidence explanation: The text references studies (McKinsey, 2012) indicating that social technologies can significantly improve knowledge workers productivity by up to 25%, highlighting awareness of trends and innovations in digital solutions.
- Confidence level: [Confidence: 90%]
- Quote: Studies report that social technologies can raise knowledge workers’ productivity up to 25% : (McKinsey, 2012)","90.0","Liaise with IT team to discuss value, resources needed, incorporate any feedback, and raise the proposal formally.","S7","Use file 2.txt ONLY to document evidence on S7: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Work effectively within teams, leading on appropriate digital technology solution activities.. None","2","2025-06-20","1"
"Use file 2.txt ONLY to document evidence on S7: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Work effectively within teams, leading on appropriate digital technology solution activities.. None","- Evidence explanation: The text describes effective collaboration between project teams (liaising with IT) and stakeholders (defining engagement plans), incorporating feedback, evaluating costs via sandbox projects, following formal release processes like UAT/CAB, and post-deployment monitoring. This demonstrates working effectively within teams to produce a digital solution using relevant organizational practices/processes.
- Confidence level: [Confidence: 80%]
- Quote: Liaise with IT team to discuss value, resources needed, incorporate any feedback, and raise the proposal formally.","80.0","Liaise with IT team to discuss value, resources needed, incorporate any feedback, and raise the proposal formally.","S7","Use file 2.txt ONLY to document evidence on S7: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Work effectively within teams, leading on appropriate digital technology solution activities.. None","2","2025-06-20","2"
"Use file 2.txt ONLY to document evidence on K8: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations.. nan. None","- Evidence explanation: The prompt directly references a study (McKinsey, 2012) that found social technologies can raise knowledge workers’ productivity by up to 25%, providing evidence for effectiveness. It also mentions collaboration platforms and CI/CD processes as tools teams use effectively.
- Confidence level: [Confidence: 80%]
- Quote: Quote: Studies report that social technologies can raise knowledge workers’ productivity up to 25%.","80.0","Quote: Studies report that social technologies can raise knowledge workers’ productivity up to 25%.","K8","Use file 2.txt ONLY to document evidence on K8: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations.. nan. None","2","2025-06-20","1"
"Use file 2.txt ONLY to document evidence on B2: Applies relevant legal, ethical, social and professional standards to digital and technology solutions considering both technical and non-technical audiences and in line with organisational guidelines. . nan. None","No relevant evidence found.","","No quote found","B2","Use file 2.txt ONLY to document evidence on B2: Applies relevant legal, ethical, social and professional standards to digital and technology solutions considering both technical and non-technical audiences and in line with organisational guidelines. . nan. None","2","2025-06-20","1"
"Use file 2.txt ONLY to document evidence on B2: Applies relevant legal, ethical, social and professional standards to digital and technology solutions considering both technical and non-technical audiences and in line with organisational guidelines. . nan. None","No relevant evidence found.","","No quote found","B2","Use file 2.txt ONLY to document evidence on B2: Applies relevant legal, ethical, social and professional standards to digital and technology solutions considering both technical and non-technical audiences and in line with organisational guidelines. . nan. None","2","2025-06-20","2"
"Use file 2.txt ONLY to document evidence on B2: Applies relevant legal, ethical, social and professional standards to digital and technology solutions considering both technical and non-technical audiences and in line with organisational guidelines. . nan. None","No relevant evidence found.","","No quote found","B2","Use file 2.txt ONLY to document evidence on B2: Applies relevant legal, ethical, social and professional standards to digital and technology solutions considering both technical and non-technical audiences and in line with organisational guidelines. . nan. None","2","2025-06-20","3"
"Use file 2.txt ONLY to document evidence on B4: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Commits to continuous professional development; maintaining their knowledge and skills in relation to developments in digital and technology solutions that influence their work.. None","No relevant evidence found.","","No quote found","B4","Use file 2.txt ONLY to document evidence on B4: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Commits to continuous professional development; maintaining their knowledge and skills in relation to developments in digital and technology solutions that influence their work.. None","2","2025-06-27","1"
"Use file 2.txt ONLY to document evidence on B4: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Commits to continuous professional development; maintaining their knowledge and skills in relation to developments in digital and technology solutions that influence their work.. None","No relevant evidence found.","","No quote found","B4","Use file 2.txt ONLY to document evidence on B4: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Commits to continuous professional development; maintaining their knowledge and skills in relation to developments in digital and technology solutions that influence their work.. None","2","2025-06-27","2"
"Use file 2.txt ONLY to document evidence on B4: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Commits to continuous professional development; maintaining their knowledge and skills in relation to developments in digital and technology solutions that influence their work.. None","No relevant evidence found.","","No quote found","B4","Use file 2.txt ONLY to document evidence on B4: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Commits to continuous professional development; maintaining their knowledge and skills in relation to developments in digital and technology solutions that influence their work.. None","2","2025-06-27","3"
"Use file 2.txt ONLY to document evidence on S7: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Work effectively within teams, leading on appropriate digital technology solution activities.. None","- Evidence explanation: The context describes a structured team approach involving versioning (tailored for different audiences), liaison with IT to evaluate feasibility and resources, building a sandbox project for evaluation, defining engagement plans post-approval, following release processes like UAT, monitoring performance after deployment, and communicating ROI. These steps demonstrate effective teamwork using digital technology solutions within relevant organizational processes.
- Confidence level: [Confidence: 80%]
- Quote: The current exercise is a foundation for the efficiency initiative...","80.0","The current exercise is a foundation for the efficiency initiative...","S7","Use file 2.txt ONLY to document evidence on S7: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Work effectively within teams, leading on appropriate digital technology solution activities.. None","2","2025-06-20","3"
"Use file 2.txt ONLY to document evidence on K8: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations.. nan. None","- Evidence explanation: The context mentions a study (McKinsey, 2012) indicating that social technologies can improve knowledge workers productivity by up to 25%, which is relevant evidence for how effective collaboration tools can enhance team performance in producing digital solutions.  
- Confidence level: [Confidence: 90%]  
- Quote: Quote: Studies report that social technologies can raise knowledge workers’ productivity up to 25%.","90.0","Quote: Studies report that social technologies can raise knowledge workers’ productivity up to 25%.","K8","Use file 2.txt ONLY to document evidence on K8: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations.. nan. None","2","2025-06-20","2"
"Use file 2.txt ONLY to document evidence on K8: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations.. nan. None","- Evidence explanation: The context mentions that social technologies can raise knowledge workers’ productivity, which relates to how teams work effectively with digital tools.  
- Confidence level: [Confidence: 70%]  
- Quote: Studies report that social technologies can raise knowledge workers’ productivity up to 25% : (McKinsey, 2012)","70.0","Studies report that social technologies can raise knowledge workers’ productivity up to 25% : (McKinsey, 2012)","K8","Use file 2.txt ONLY to document evidence on K8: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations.. nan. None","2","2025-06-20","3"
"Use file 2.txt ONLY to document evidence on B6: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Participates in and shares best practice in their organisation, and the wider community for aspects relevant to digital and technology solutions.. None","- Evidence explanation: Teams work effectively by leveraging shared knowledge through an in-house approach involving helpful collaboration and a central documentation system (like Confluence wiki), mitigating issues arising from reliance on personal interactions or outdated information sources. They participate in sharing best practices by addressing outsourcing challenges, such as query response times with outsourced teams, using formalized methods like refreshing wikis.
- Confidence level: [Confidence: 90%]
- Quote: Helpful in-house team with a knowledge-sharing approach and Relying on personal interaction . (and surrounding text)","90.0","Helpful in-house team with a knowledge-sharing approach and Relying on personal interaction . (and surrounding text)","B6","Use file 2.txt ONLY to document evidence on B6: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Participates in and shares best practice in their organisation, and the wider community for aspects relevant to digital and technology solutions.. None","2","2025-06-27","1"
"Use file 2.txt ONLY to document evidence on B6: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Participates in and shares best practice in their organisation, and the wider community for aspects relevant to digital and technology solutions.. None","- Evidence explanation: The context describes an in-house team using a knowledge-sharing approach, which indicates effective teamwork leveraging organizational theories focused on collaboration for digital solutions. Recommendations include refreshing central documentation (like a wiki/Confluence) to facilitate sharing best practices, and mentions specific DevOps-related actions such as stopping scripts on errors and notifying via Teams.
- Confidence level: [Confidence: 80%]
- Quote: • Helpful in-house team with a knowledge-sharing approach • Shared tech stack • Shared templates (Source:2.txt)","80.0","• Helpful in-house team with a knowledge-sharing approach • Shared tech stack • Shared templates (Source:2.txt)","B6","Use file 2.txt ONLY to document evidence on B6: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Participates in and shares best practice in their organisation, and the wider community for aspects relevant to digital and technology solutions.. None","2","2025-06-27","3"
"Use file 2.txt ONLY to document evidence on B6: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Participates in and shares best practice in their organisation, and the wider community for aspects relevant to digital and technology solutions.. None","- Evidence explanation: Teams utilize Lean principles for fast development and low-risk experiments (Context: LEAN). They also employ a knowledge-sharing approach via in-house teams and shared tech stacks/templates (Context: Sharing).
  - Quote: LEAN • Full-stack approach is tailored to fast solution development and low -risk experiments
  - Quote: • Helpful in -house team with a knowledge -sharing approach • Shared tech stack • Shared templates

- Evidence explanation: Teams use Cloud Functions for serverless solutions, leveraging normalized Big Query or raw Google Cloud Storage data (Context: Cloud). This supports flexibility and scalability.
  - Quote: Cloud • Google Cloud Functions • Store d ata on Big  Query (normalised) or Google Cloud Storage (raw)
  - Quote: Allow users to generate insights

- Evidence explanation: Teams engage in structured knowledge management, including clear file structures for data readability and Power BI templates (Context: Readability).
  - Quote: Readability • Clear , timestamped  file structure ... • Document + Power BI templates
  - Quote: • Shared tech stack • Shared templates

- Evidence explanation: The company participates in DevOps by advising teams across various stages (Analysis, Planning, Design, Maintenance) and addressing outsourcing impacts through support channels like calls/emails.
  - Quote: DevOps Evaluation ... Some teams remain in-house... Calls/emails as needed
  - Quote: Advised Analysis, Planning, Design, Maintenance

- Evidence explanation: Teams formally record lessons learned (Context: MEASUREMENT), aligning with ISO standards to define standard metrics for measurement alignment.
  - Quote: • Formally record lessons learnt","","LEAN • Full-stack approach is tailored to fast solution development and low -risk experiments","B6","Use file 2.txt ONLY to document evidence on B6: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Participates in and shares best practice in their organisation, and the wider community for aspects relevant to digital and technology solutions.. None","2","2025-06-27","2"
"Use file 2.txt ONLY to document evidence on B7: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Maintains awareness of trends and innovations in the subject area, utilising a range of academic literature, online sources, community interaction, conference attendance and other methods which can deliver business value.. None","- Evidence explanation: The text describes a full-stack approach tailored for fast solution development and low-risk experiments (LEAN), which aligns with effective team practices for producing digital solutions efficiently. It also mentions defining standard metrics aligned with business goals and relevant standards, indicating awareness of trends and innovation through structured measurement.
- Confidence level: [Confidence: 90%]
- Quote: • Full-stack approach is tailored to fast solution development and low-risk experiments (LEAN section). MEASUREMENT • ... Define standard metrics aligning with ISO 5055/25010 and business goals (Measurement section).

- Evidence explanation: The text addresses maintaining awareness by suggesting formal recording of lessons learned, which involves capturing relevant information for future projects. It also mentions refreshing central documentation like Confluence to address outdated info issues.
- Confidence level: [Confidence: 90%]
- Quote: • As and when required • No standard metrics or KPIs • Define standard metrics aligning with ISO 5055/25010 and business goals (Measurement section). SHARING • ... • Relying on personal interaction. • No accessible central documentation, cluttered with outdated info. (Sharing section)","90.0","• Full-stack approach is tailored to fast solution development and low-risk experiments (LEAN section). MEASUREMENT • ... Define standard metrics aligning with ISO 5055/25010 and business goals (Measurement section).","B7","Use file 2.txt ONLY to document evidence on B7: Explains how teams work effectively to produce a digital and technology solution applying relevant organisational theories using up to date awareness of trends and innovations. . Maintains awareness of trends and innovations in the subject area, utilising a range of academic literature, online sources, community interaction, conference attendance and other methods which can deliver business value.. None","2","2025-06-27","1"
